campaign_id,campaign_name,date,impressions,clicks,ad_spend,platform
CAMP_G001,Summer Flash Sale - Display,2025-06-01,8624,545.0,457.58,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-06-02,11685,851.0,435.82,google_ads
CAMP_G001,summer flash sale - display,2025-06-03,11502,895.0,393.16,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-06-04,11153,743.0,219.15,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-06-05,9156,555.0,491.21,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-06-06,13320,853.0,213.14,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-06-07,14458,1143.0,297.75,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-06-08,13570,731.0,342.71,google_ads
CAMP_G001,summer flash sale - display,2025-06-09,14583,1093.0,410.08,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-06-10,11046,681.0,286.5,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-06-11,13829,695.0,436.08,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-06-12,9940,634.0,370.62,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-06-13,11077,,369.57,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,06/14/2025,11958,799.0,291.19,google_ads
CAMP_G001,summer flash sale - display,2025-06-15,10432,589.0,322.56,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-06-16,13752,804.0,288.08,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-06-17,11535,807.0,321.92,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-06-18,10340,545.0,416.71,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-06-19,14305,781.0,408.9,google_ads
CAMP_G001,summer flash sale - display,2025-06-20,9671,666.0,308.54,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-06-21,10372,801.0,409.91,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-06-22,9844,704.0,334.81,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-06-23,11129,709.0,260.71,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-06-24,11828,895.0,427.56,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-06-25,10160,686.0,394.95,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-06-26,13508,876.0,298.96,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-06-27,9226,509.0,477.54,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-06-28,12287,623.0,487.57,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-06-29,8454,546.0,347.21,google_ads
CAMP_G001,summer flash sale - display,2025-06-30,11796,684.0,299.47,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-01,9992,747.0,468.85,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-02,10210,716.0,284.37,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-07-03,14572,776.0,474.8,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-07-04,8988,549.0,448.94,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-07-05,9419,553.0,354.52,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-06,9265,476.0,330.53,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-07-07,8636,663.0,468.03,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-07-08,8154,570.0,312.1,google_ads
CAMP_G001,summer flash sale - display,2025-07-09,10660,833.0,272.29,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-10,14244,789.0,379.81,google_ads
CAMP_G001,summer flash sale - display,2025-07-11,9963,731.0,491.55,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-12,14541,827.0,239.55,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-07-13,10076,714.0,374.33,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-07-14,8175,590.0,239.32,google_ads
CAMP_G001,summer flash sale - display,2025-07-15,8566,506.0,346.58,google_ads
CAMP_G001,summer flash sale - display,2025-07-16,11647,905.0,207.46,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-17,13886,753.0,325.73,google_ads
CAMP_G001,Summer Flash Sale - Display,18-Jul-2025,9270,687.0,340.21,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-19,12645,947.0,439.05,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-07-20,13356,1015.0,380.93,google_ads
CAMP_G001,summer flash sale - display,2025-07-21,14486,1008.0,460.25,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-22,9881,715.0,444.97,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-07-23,11328,616.0,447.4,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-07-24,14407,792.0,285.42,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-25,11782,609.0,252.39,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-07-26,11612,718.0,295.4,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-07-27,13549,695.0,254.45,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-07-28,12498,781.0,214.78,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-07-29,14255,1069.0,215.59,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-07-30,13860,1068.0,493.87,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-07-31,12395,909.0,240.37,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-08-01,14769,944.0,315.53,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-08-02,8427,542.0,325.07,google_ads
CAMP_G001,summer flash sale - display,2025-08-03,11535,690.0,313.84,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-08-04,13550,1050.0,344.27,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-08-05,14724,1024.0,441.32,google_ads
CAMP_G001,summer flash sale - display,2025-08-06,8507,613.0,260.72,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-08-07,14433,988.0,228.53,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-08-08,11663,631.0,487.66,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-08-09,11116,821.0,483.81,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-08-10,8351,572.0,251.39,google_ads
CAMP_G001,summer flash sale - display,2025-08-11,11331,744.0,429.18,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-08-12,9650,752.0,235.92,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-08-13,11417,714.0,432.3,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-08-14,13168,960.0,281.16,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-08-15,10191,555.0,480.84,google_ads
CAMP_G001,  Summer Flash Sale - Display  ,2025-08-16,8895,592.0,480.84,google_ads
CAMP_G001,summer flash sale - display,2025-08-17,8979,715.0,415.33,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-08-18,9897,684.0,236.58,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-08-19,11812,752.0,447.62,google_ads
CAMP_G001,summer flash sale - display,2025-08-20,10208,603.0,475.53,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-08-21,10736,820.0,285.17,google_ads
CAMP_G001,Summer Flash Sale - Display,2025-08-22,12660,886.0,395.04,google_ads
CAMP_G001,SUMMER FLASH SALE - DISPLAY,2025-08-23,14044,804.0,242.91,google_ads
