campaign_id,campaign_name,date,impressions,clicks,ad_spend,platform
CAMP_M001,viral video promo - reels,2025-06-01,10935.0,702.0,542.35,meta_ads
CAMP_M001,viral video promo - reels,2025-06-02,16481.0,1228.0,431.81,meta_ads
CAMP_M001,VIRAL VIDEO PROMO - REELS,2025-06-03,10999.0,714.0,339.76,meta_ads
CAMP_M001,Viral Video Promo - Reels,2025-06-04,13552.0,944.0,569.48,meta_ads
CAMP_M001,  Viral Video Promo - Reels  ,2025-06-05,12999.0,825.0,466.87,meta_ads
CAMP_M001,Viral Video Promo - Reels,2025-06-06,18795.0,1394.0,591.41,meta_ads
CAMP_M001,viral video promo - reels,2025-06-07,14890.0,910.0,541.2,meta_ads
CAMP_M001,VIRAL VIDEO PROMO - REELS,2025-06-08,15653.0,959.0,323.8,meta_ads
CAMP_M001,viral video promo - reels,2025-06-09,14771.0,1036.0,368.42,meta_ads
CAMP_M001,  Viral Video Promo - Reels  ,2025-06-10,19516.0,1253.0,587.9,meta_ads
CAMP_M001,VIRAL VIDEO PROMO - REELS,2025-06-11,17099.0,1387.0,545.94,meta_ads
CAMP_M001,VIRAL VIDEO PROMO - REELS,06/12/2025,13238.0,836.0,499.39,meta_ads
CAMP_M001,VIRAL VIDEO PROMO - REELS,2025-06-13,12756.0,801.0,357.22,meta_ads
CAMP_M001,  Viral Video Promo - Reels  ,2025-06-14,14210.0,891.0,430.01,meta_ads
CAMP_M001,Viral Video Promo - Reels,2025-06-15,15790.0,1180.0,446.09,meta_ads
CAMP_M001,viral video promo - reels,2025-06-16,14970.0,1113.0,307.94,meta_ads
CAMP_M001,Viral Video Promo - Reels,06/17/2025,12559.0,1130.0,515.61,meta_ads
CAMP_M001,Viral Video Promo - Reels,2025-06-18,10618.0,645.0,479.89,meta_ads
CAMP_M001,VIRAL VIDEO PROMO - REELS,2025-06-19,19370.0,1480.0,484.99,meta_ads
CAMP_M001,Viral Video Promo - Reels,20-Jun-2025,17375.0,1096.0,325.67,meta_ads
CAMP_M001,Viral Video Promo - Reels,2025-06-21,14340.0,1165.0,540.4,meta_ads
CAMP_M001,viral video promo - reels,2025-06-22,14065.0,1202.0,451.94,meta_ads
CAMP_M001,viral video promo - reels,2025-06-23,12749.0,775.0,372.8,meta_ads
CAMP_M001,  Viral Video Promo - Reels  ,2025-06-24,15247.0,1319.0,387.7,meta_ads
